[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
[DATA],,,,,
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,
0.1,-0.043,0.001,0.1,-0.023,0
0.2,2.864,0.005,0.5,1.554,0
0.3,8.214,0.0105,1.05,4.458,0
0.4,17.84,0.016,1.6,9.681,0
0.5,27.51,0.0205,2.05,14.929,0
0.6,37.742,0.0255,2.55,20.482,0
0.7,47.994,0.0305,3.05,26.045,0
0.8,57.852,0.0355,3.55,31.395,0
0.9,68.674,0.041,4.1,37.268,0
1,79.032,0.0455,4.55,42.889,0
1.1,88.83,0.0505,5.05,48.206,0
1.2,99.335,0.056,5.6,53.907,0
1.3,109.117,0.0605,6.05,59.216,0
1.4,118.422,0.065,6.5,64.266,0
1.5,128.578,0.07,7,69.777,0
1.6,137.502,0.075,7.5,74.619,0
1.7,146.53,0.08,8,79.519,0
1.8,156.073,0.085,8.5,84.698,0
1.9,164.483,0.0895,8.95,89.262,0
2,173.126,0.095,9.5,93.952,0
2.1,181.553,0.1,10,98.525,0
2.2,189.706,0.105,10.5,102.95,0
2.3,198.084,0.11,11,107.497,0
2.4,206.069,0.115,11.5,111.829,0
2.5,213.765,0.12,12,116.006,0
2.6,222.328,0.125,12.5,120.653,0
2.7,229.587,0.13,13,124.593,0
2.8,237.425,0.135,13.5,128.846,0
2.9,245.737,0.14,14,133.357,0
3,252.54,0.1445,14.45,137.049,0
3.1,260.198,0.1495,14.95,141.205,0
3.2,268.028,0.1545,15.45,145.454,0
3.3,274.903,0.159,15.9,149.185,0
3.4,282.791,0.164,16.4,153.465,0
3.5,290.613,0.169,16.9,157.71,0
3.6,297.571,0.174,17.4,161.486,0
3.7,305.902,0.179,17.9,166.007,0
3.8,313.452,0.184,18.4,170.104,0
3.9,321.12,0.189,18.9,174.266,0
4,329.148,0.1945,19.45,178.622,0
4.1,336.455,0.199,19.9,182.588,0
4.2,344.087,0.2045,20.45,186.729,0
4.3,351.86,0.2095,20.95,190.947,0
4.4,358.414,0.214,21.4,194.504,0
4.5,366.109,0.2195,21.95,198.681,0
4.6,373,0.224,22.4,202.42,0
4.7,379.271,0.229,22.9,205.823,0
4.8,386.723,0.234,23.4,209.867,0
4.9,393.415,0.2385,23.85,213.499,0
5,399.885,0.2435,24.35,217.01,0
5.1,407.28,0.2485,24.85,221.023,0
5.2,413.958,0.2535,25.35,224.647,0
5.3,420.66,0.2585,25.85,228.284,0
5.4,428.107,0.2635,26.35,232.325,0
5.5,434.654,0.2685,26.85,235.878,0
5.6,441.497,0.274,27.4,239.592,0
5.7,448.188,0.2785,27.85,243.223,0
5.8,454.235,0.2835,28.35,246.504,0
5.9,461.117,0.289,28.9,250.239,0
6,467.066,0.2935,29.35,253.468,0
6.1,472.984,0.2985,29.85,256.679,0
6.2,479.567,0.3035,30.35,260.252,0
6.3,485.296,0.308,30.8,263.361,0
6.4,490.857,0.313,31.3,266.379,0
6.5,497.313,0.318,31.8,269.882,0
6.6,502.666,0.3225,32.25,272.787,0
6.7,508.06,0.328,32.8,275.715,0
6.8,514.525,0.3325,33.25,279.223,0
6.9,519.963,0.3375,33.75,282.174,0
7,525.822,0.343,34.3,285.354,0
7.1,531.886,0.3475,34.75,288.645,0
7.2,537.428,0.353,35.3,291.652,0
7.3,543.533,0.358,35.8,294.965,0
7.4,548.928,0.363,36.3,297.893,0
7.5,553.987,0.368,36.8,300.638,0
7.6,559.946,0.373,37.3,303.872,0
7.7,564.379,0.378,37.8,306.278,0
7.8,569.422,0.383,38.3,309.015,0
7.9,574.988,0.388,38.8,312.035,0
8,579.215,0.3925,39.25,314.329,0
8.1,584.122,0.3975,39.75,316.992,0
8.2,589.294,0.4025,40.25,319.799,0
8.3,593.706,0.407,40.7,322.193,0
8.4,598.563,0.412,41.2,324.829,0
8.5,603.528,0.417,41.7,327.523,0
8.6,608.307,0.422,42.2,330.117,0
8.7,613.476,0.427,42.7,332.922,0
8.8,618.075,0.432,43.2,335.418,0
8.9,622.606,0.437,43.7,337.876,0
9,627.669,0.4425,44.25,340.624,0
9.1,631.769,0.447,44.7,342.849,0
9.2,636.399,0.4525,45.25,345.362,0
9.3,641.205,0.4575,45.75,347.97,0
9.4,644.979,0.462,46.2,350.018,0
9.5,649.66,0.4675,46.75,352.558,0
9.6,653.995,0.472,47.2,354.911,0
9.7,657.765,0.477,47.7,356.957,0
9.8,662.369,0.482,48.2,359.455,0
9.9,666.145,0.4865,48.65,361.504,0
10,670.101,0.4915,49.15,363.651,0
10.1,674.659,0.4965,49.65,366.125,0
10.2,678.523,0.5015,50.15,368.221,0
10.3,682.822,0.5065,50.65,370.555,0
10.4,687.14,0.512,51.2,372.898,0
10.5,690.925,0.5165,51.65,374.952,0
10.6,695.274,0.522,52.2,377.312,0
10.7,699.275,0.527,52.7,379.483,0
10.8,702.698,0.532,53.2,381.341,0
10.9,706.976,0.537,53.7,383.663,0
11,710.621,0.542,54.2,385.641,0
11.1,714.121,0.547,54.7,387.54,0
11.2,718.368,0.552,55.2,389.844,0
