[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.92 / 6.07
8,Gage length [mm],25
9,Area,17.7244
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,-0.169,0,0,-0.093,0
0.2,1.26,0.0035,0.014,0.696,0
0.3,5.695,0.008,0.032,3.149,0
0.4,14.779,0.014,0.056,8.172,0
0.5,24.896,0.0185,0.074,13.766,0
0.6,34.326,0.0235,0.094,18.98,0
0.7,44.881,0.0285,0.114,24.817,0
0.8,54.116,0.033,0.132,29.923,0
0.9,62.724,0.0385,0.154,34.683,0
1,71.72,0.043,0.172,39.657,0
1.1,79.546,0.048,0.192,43.984,0
1.2,87.487,0.053,0.212,48.376,0
1.3,96.585,0.0575,0.23,53.406,0
1.4,104.829,0.062,0.248,57.965,0
1.5,113.414,0.067,0.268,62.712,0
1.6,122.849,0.072,0.288,67.929,0
1.7,131.67,0.077,0.308,72.806,0
1.8,141.14,0.082,0.328,78.043,0
1.9,150.541,0.087,0.348,83.24,0
2,159.49,0.092,0.368,88.189,0
2.1,169.177,0.0975,0.39,93.545,0
2.2,177.92,0.102,0.408,98.38,0
2.3,186.406,0.1075,0.43,103.072,0
2.4,195.837,0.1125,0.45,108.287,0
2.5,203.907,0.117,0.468,112.749,0
2.6,212.487,0.1225,0.49,117.493,0
2.7,221.309,0.127,0.508,122.371,0
2.8,228.774,0.1315,0.526,126.499,0
2.9,236.951,0.1365,0.546,131.021,0
3,245.332,0.141,0.564,135.655,0
3.1,253.066,0.146,0.584,139.931,0
3.2,261.859,0.151,0.604,144.793,0
3.3,270.01,0.156,0.624,149.3,0
3.4,278.32,0.161,0.644,153.896,0
3.5,287.245,0.166,0.664,158.831,0
3.6,295.262,0.171,0.684,163.263,0
3.7,303.474,0.176,0.704,167.804,0
3.8,311.971,0.181,0.724,172.502,0
3.9,319.446,0.186,0.744,176.636,0
4,328.011,0.1915,0.766,181.372,0
4.1,336.424,0.196,0.784,186.024,0
4.2,343.736,0.201,0.804,190.067,0
4.3,352.386,0.206,0.824,194.85,0
4.4,360.058,0.2105,0.842,199.092,0
4.5,367.203,0.2155,0.862,203.042,0
4.6,375.278,0.22,0.88,207.508,0
4.7,382.374,0.225,0.9,211.431,0
4.8,389.843,0.2295,0.918,215.561,0
4.9,397.812,0.2345,0.938,219.968,0
5,405.317,0.2395,0.958,224.118,0
5.1,413.227,0.2445,0.978,228.491,0
5.2,421.57,0.2495,0.998,233.104,0
5.3,429.247,0.2545,1.018,237.35,0
5.4,437.469,0.26,1.04,241.896,0
5.5,445.33,0.265,1.06,246.242,0
5.6,452.471,0.27,1.08,250.191,0
5.7,460.754,0.275,1.1,254.771,0
5.8,467.708,0.2795,1.118,258.616,0
5.9,474.881,0.285,1.14,262.583,0
6,482.77,0.29,1.16,266.945,0
6.1,489.292,0.294,1.176,270.551,0
6.2,496.398,0.2995,1.198,274.481,0
6.3,503.7,0.304,1.216,278.518,0
6.4,510.367,0.3085,1.234,282.204,0
6.5,517.383,0.314,1.256,286.084,0
6.6,524.722,0.3185,1.274,290.142,0
6.7,531.804,0.3235,1.294,294.058,0
6.8,539.178,0.3285,1.314,298.135,0
6.9,546.506,0.3335,1.334,302.187,0
7,553.166,0.3385,1.354,305.87,0
7.1,561.192,0.344,1.376,310.307,0
7.2,567.765,0.3485,1.394,313.942,0
7.3,574.532,0.354,1.416,317.684,0
7.4,582.061,0.359,1.436,321.847,0
7.5,587.971,0.3635,1.454,325.115,0
7.6,594.971,0.369,1.476,328.986,0
7.7,601.538,0.3735,1.494,332.617,0
7.8,607.015,0.378,1.512,335.645,0
