[TYPE]
Mixed CSV
[INFOMATION]
0,시험일자,2024-09-09
1,실무자,이재성
2,의뢰 기관,창원대학교
3,시험 속도,3 mm/min;
4,시편 명칭 / 재질,
5,시편 형상,사각시편
6,지름 [mm],
7,두께 [mm] / 폭 [mm],2.94 / 6.04
8,Gage length [mm],25
9,Area,17.7576
10,기타, / 
[DATA]
TIME - Second,ULM-T10 - kgf,Displacement - mm,Strain - %,Stress - MPa,Temp. - ℃
0.1,0.454,0.002,0.008,0.251,0
0.2,3.896,0.0065,0.026,2.15,0
0.3,11.563,0.012,0.048,6.382,0
0.4,21.775,0.017,0.068,12.018,0
0.5,30.746,0.0215,0.086,16.969,0
0.6,39.167,0.026,0.104,21.617,0
0.7,46.759,0.031,0.124,25.807,0
0.8,53.61,0.036,0.144,29.588,0
0.9,61.162,0.041,0.164,33.756,0
1,69.327,0.0455,0.182,38.263,0
1.1,77.09,0.0505,0.202,42.547,0
1.2,85.677,0.056,0.224,47.286,0
1.3,94.273,0.0605,0.242,52.03,0
1.4,102.874,0.066,0.264,56.777,0
1.5,112.326,0.071,0.284,61.994,0
1.6,121.397,0.076,0.304,67,0
1.7,130.598,0.081,0.324,72.078,0
1.8,140.557,0.086,0.344,77.575,0
1.9,149.285,0.0905,0.362,82.392,0
2,158.403,0.096,0.384,87.424,0
2.1,168,0.1005,0.402,92.721,0
2.2,176.186,0.1055,0.422,97.239,0
2.3,184.791,0.1105,0.442,101.988,0
2.4,193.778,0.115,0.46,106.948,0
2.5,201.777,0.1195,0.478,111.363,0
2.6,210.665,0.1245,0.498,116.268,0
2.7,219.505,0.1295,0.518,121.147,0
2.8,228.116,0.1345,0.538,125.9,0
2.9,237.486,0.1395,0.558,131.071,0
3,246.248,0.1445,0.578,135.907,0
3.1,255.075,0.15,0.6,140.778,0
3.2,264.537,0.155,0.62,146.001,0
3.3,272.623,0.16,0.64,150.463,0
3.4,281.53,0.165,0.66,155.379,0
3.5,290.474,0.17,0.68,160.315,0
3.6,297.866,0.1745,0.698,164.395,0
3.7,306.557,0.18,0.72,169.192,0
3.8,314.705,0.184,0.736,173.689,0
3.9,321.86,0.189,0.756,177.638,0
4,330.424,0.194,0.776,182.364,0
4.1,338.435,0.1985,0.794,186.786,0
4.2,346.116,0.2035,0.814,191.025,0
4.3,354.58,0.208,0.832,195.696,0
4.4,362.235,0.213,0.852,199.921,0
4.5,370.337,0.218,0.872,204.393,0
4.6,378.893,0.223,0.892,209.115,0
4.7,387.021,0.228,0.912,213.601,0
4.8,395.673,0.2335,0.934,218.376,0
4.9,404.069,0.238,0.952,223.01,0
5,411.902,0.243,0.972,227.333,0
5.1,420.81,0.2485,0.994,232.25,0
5.2,428.544,0.253,1.012,236.518,0
5.3,435.896,0.258,1.032,240.575,0
5.4,444.595,0.263,1.052,245.377,0
5.5,451.617,0.2675,1.07,249.252,0
5.6,458.846,0.2725,1.09,253.242,0
5.7,466.833,0.277,1.108,257.65,0
5.8,474.168,0.282,1.128,261.698,0
5.9,481.691,0.287,1.148,265.85,0
6,489.783,0.292,1.168,270.316,0
6.1,497.194,0.2965,1.186,274.406,0
6.2,505.178,0.302,1.208,278.813,0
6.3,513.174,0.3065,1.226,283.226,0
6.4,520.736,0.3115,1.246,287.4,0
6.5,528.947,0.317,1.268,291.931,0
6.6,536.476,0.3215,1.286,296.086,0
6.7,543.8,0.327,1.308,300.129,0
6.8,551.906,0.332,1.328,304.603,0
6.9,558.739,0.3365,1.346,308.373,0
7,566.089,0.342,1.368,312.43,0
7.1,573.6,0.3465,1.386,316.576,0
7.2,579.654,0.351,1.404,319.917,0
7.3,586.774,0.356,1.424,323.847,0
7.4,593.884,0.3605,1.442,327.771,0
7.5,600.161,0.3655,1.462,331.235,0
7.6,607.157,0.3705,1.482,335.096,0
7.7,614.27,0.375,1.5,339.022,0
7.8,620.994,0.38,1.52,342.733,0
7.9,628.503,0.385,1.54,346.877,0
8,635.29,0.39,1.56,350.623,0
8.1,642.137,0.3955,1.582,354.402,0
8.2,649.698,0.4005,1.602,358.575,0
8.3,656.125,0.405,1.62,362.122,0
8.4,662.961,0.4105,1.642,365.895,0
8.5,669.712,0.415,1.66,369.621,0
8.6,675.351,0.42,1.68,372.733,0
8.7,682.307,0.425,1.7,376.572,0
8.8,688.35,0.4295,1.718,379.907,0
8.9,693.643,0.4345,1.738,382.829,0
9,700.259,0.4395,1.758,386.48,0
9.1,705.956,0.444,1.776,389.624,0
9.2,711.398,0.4485,1.794,392.628,0
9.3,717.709,0.4535,1.814,396.111,0
9.4,723.329,0.4585,1.834,399.212,0
9.5,728.569,0.4635,1.854,402.104,0
9.6,734.899,0.4685,1.874,405.598,0
9.7,740.48,0.4735,1.894,408.679,0
9.8,746.339,0.479,1.916,411.912,0
9.9,751.859,0.484,1.936,414.959,0
10,756.997,0.489,1.956,417.794,0
10.1,762.816,0.494,1.976,421.006,0
10.2,767.311,0.4985,1.994,423.487,0
10.3,771.793,0.504,2.016,425.96,0
10.4,776.944,0.509,2.036,428.803,0
10.5,780.612,0.513,2.052,430.828,0
10.6,784.882,0.518,2.072,433.184,0
10.7,789.414,0.523,2.092,435.686,0
10.8,792.899,0.5275,2.11,437.609,0
10.9,796.918,0.5325,2.13,439.827,0
11,800.818,0.5375,2.15,441.98,0
11.1,804.105,0.5425,2.17,443.794,0
11.2,807.953,0.5475,2.19,445.917,0
11.3,811.388,0.5525,2.21,447.813,0
11.4,814.312,0.5575,2.23,449.427,0
11.5,817.902,0.563,2.252,451.409,0
11.6,820.434,0.5675,2.27,452.806,0
11.7,823.183,0.573,2.292,454.323,0
11.8,826.147,0.578,2.312,455.959,0
11.9,827.796,0.5825,2.33,456.869,0
12,830.46,0.588,2.352,458.339,0
12.1,832.586,0.5925,2.37,459.513,0
12.2,833.867,0.597,2.388,460.22,0
12.3,836.247,0.602,2.408,461.533,0
12.4,838.115,0.607,2.428,462.564,0
12.5,839.438,0.6115,2.446,463.294,0
12.6,841.787,0.6165,2.466,464.591,0
12.7,843.456,0.6215,2.486,465.512,0
12.8,845.018,0.6265,2.506,466.374,0
12.9,847.294,0.632,2.528,467.63,0
13,848.551,0.6365,2.546,468.324,0
13.1,850.185,0.642,2.568,469.226,0
13.2,851.904,0.647,2.588,470.175,0
13.3,853.074,0.652,2.608,470.82,0
13.4,855.035,0.6575,2.63,471.903,0
13.5,856.276,0.662,2.648,472.587,0
13.6,857.372,0.667,2.668,473.192,0
13.7,859.152,0.672,2.688,474.175,0
13.8,860.261,0.677,2.708,474.787,0
13.9,861.094,0.6815,2.726,475.247,0
14,863.211,0.6865,2.746,476.415,0
14.1,863.951,0.691,2.764,476.823,0
14.2,865.051,0.696,2.784,477.43,0
14.3,866.903,0.701,2.804,478.453,0
14.4,867.769,0.706,2.824,478.93,0
14.5,869.291,0.711,2.844,479.771,0
14.6,870.903,0.716,2.864,480.66,0
14.7,871.964,0.721,2.884,481.246,0
14.8,873.75,0.7265,2.906,482.232,0
14.9,874.887,0.7315,2.926,482.859,0
15,875.963,0.7365,2.946,483.453,0
15.1,877.902,0.742,2.968,484.523,0
15.2,878.47,0.7465,2.986,484.836,0
15.3,879.611,0.7515,3.006,485.466,0
15.4,881.352,0.7565,3.026,486.427,0
15.5,881.948,0.761,3.044,486.756,0
15.6,883.243,0.766,3.064,487.471,0
15.7,884.788,0.771,3.084,488.323,0
15.8,885.532,0.7755,3.102,488.734,0
15.9,886.989,0.7805,3.122,489.538,0
16,888.597,0.7855,3.142,490.426,0
16.1,889.544,0.7905,3.162,490.948,0
16.2,891.026,0.796,3.184,491.766,0
16.3,892.204,0.8005,3.202,492.417,0
16.4,893.24,0.806,3.224,492.988,0
16.5,895.015,0.811,3.244,493.968,0
16.6,895.897,0.816,3.264,494.455,0
16.7,896.922,0.821,3.284,495.021,0
16.8,898.64,0.826,3.304,495.969,0
16.9,899.205,0.831,3.324,496.281,0
17,900.77,0.836,3.344,497.144,0
17.1,901.943,0.841,3.364,497.792,0
17.2,902.396,0.8455,3.382,498.042,0
17.3,904.019,0.8505,3.402,498.937,0
17.4,905.221,0.8555,3.422,499.6,0
17.5,906.131,0.86,3.44,500.103,0
17.6,907.554,0.865,3.46,500.888,0
17.7,908.6,0.87,3.48,501.466,0
17.8,909.722,0.875,3.5,502.085,0
17.9,911.296,0.88,3.52,502.954,0
18,912.359,0.885,3.54,503.54,0
